%time,field.header.seq,field.header.stamp,field.header.frame_id,field.roll,field.pitch,field.jaw,field.roll_dot,field.pitch_dot,field.jaw_dot
17434000000,403,17434000000,,-5.67062670598e-06,3.65697014786e-05,9.23182597035e-05,4.19833723342e-10,1.69980574061e-09,6.81943251868e-11
17473000000,404,17473000000,,1.31693805088e-05,0.000111844048661,9.51638721745e-05,0.000505367235746,0.00194183608983,7.29850362404e-05
17509000000,405,17509000000,,3.1824423786e-05,0.000180616960279,9.7719457699e-05,0.000537599727977,0.00196302239783,7.30542160454e-05
17549000000,406,17549000000,,6.09747039562e-05,0.000286964466795,0.000100716002635,0.000693107431289,0.0024059060961,7.30688407202e-05
17588000000,407,17588000000,,8.58970597619e-05,0.000367862492567,0.00010356301209,4.89780827007e-10,1.54052692825e-09,6.56368154273e-11
17630000000,408,17630000000,,0.000106600462459,0.000427646853495,0.000106548126496,1.91903687385e-10,4.61240712291e-10,3.63078907217e-11
17670000000,409,17670000000,,0.000108208856545,0.000416266615503,0.000109438798972,-3.0282026886e-11,-2.88755214184e-10,2.7468406022e-11
17711000000,410,17711000000,,0.000102530277218,0.000375497562345,0.00011243334302,-1.20184015517e-10,-6.90843326989e-10,4.18733242524e-11
17748000000,411,17748000000,,9.34405325097e-05,0.00032409830601,0.000115024420666,-2.27739438419e-10,-1.26592936134e-09,5.57229470899e-11
17787000000,412,17787000000,,8.01693386165e-05,0.000256596627878,0.000117702169518,-3.632470158e-10,-1.70559488755e-09,6.35596922316e-11
17824000000,413,17824000000,,6.47858323646e-05,0.000183419251698,0.000120136195619,-0.000455257686554,-0.00216749846004,6.73075337545e-05
17858000000,414,17858000000,,4.68959187856e-05,0.000104021542938,0.000122480560094,-0.000552291923668,-0.00229643075727,6.67939166306e-05
17896000000,415,17896000000,,1.94420008484e-05,-1.47141545312e-05,0.000125007180031,-0.00072807847755,-0.00314639462158,6.65166007821e-05
17929000000,416,17929000000,,-5.42911811863e-06,-0.000112515888759,0.000127199702547,-0.000733175722416,-0.00265321414918,6.64114631945e-05
17963000000,417,17963000000,,-3.03725792037e-05,-0.000204692973057,0.000129452120746,-0.000661400787067,-0.00241629895754,6.61489757476e-05
18002000000,418,18002000000,,-5.19067398272e-05,-0.000270296673989,0.000131877488457,-3.08376491009e-10,-7.63390406444e-10,4.18388136636e-11
18043000000,419,18043000000,,-6.55054609524e-05,-0.000294803903671,0.000134659727337,-1.41380787286e-11,4.01386042459e-12,5.73996189121e-12
18085000000,420,18085000000,,-5.93501572439e-05,-0.000244203431066,0.000137272101711,2.36194369618e-10,1.48789780496e-09,5.48736195372e-11
18123000000,421,18123000000,,-4.78137480968e-05,-0.000172936517629,0.000139596086228,0.000356149859726,0.00209440127946,6.25159955234e-05
18158000000,422,18158000000,,-3.34014330292e-05,-9.17253346415e-05,0.000141898504808,0.000410969165387,0.00226997048594,6.20608116151e-05
18195000000,423,18195000000,,-1.33177700263e-05,2.06298464036e-05,0.000144189078128,0.000559717358556,0.0030530965887,6.19032289251e-05
18233000000,424,18233000000,,7.18792898624e-06,0.000125602382468,0.000146478385432,0.000510151556227,0.00253506936133,6.18434933131e-05
18266000000,425,18266000000,,2.38422544498e-05,0.000207916556974,0.000148453676957,0.00047551174066,0.00225183367729,6.16002434981e-05
18305000000,426,18305000000,,3.93731606891e-05,0.000271288095973,0.000150959211169,1.3467768567e-10,4.59890486804e-10,2.97405468308e-11
18348000000,427,18348000000,,4.64382937935e-05,0.000284627603833,0.000153426546603,9.44530478136e-12,-3.32011362847e-11,7.89566068776e-12
18384000000,428,18384000000,,4.07570551033e-05,0.000236440115259,0.000155615009135,-2.19444684646e-10,-1.58920154814e-09,5.25827818787e-11
18421000000,429,18421000000,,3.03709311993e-05,0.000160447089002,0.000157831193064,-0.000304630026221,-0.00214653881267,5.79547449888e-05
18452000000,430,18452000000,,1.99863407033e-05,9.17290017242e-05,0.000159621049534,-0.000348338740878,-0.00228909123689,5.75784215471e-05
18486000000,431,18486000000,,4.33256400356e-06,-1.51831445692e-05,0.000161572330398,-0.000448911858257,-0.0030553417746,5.73587785766e-05
18523000000,432,18523000000,,-1.30009066197e-05,-0.000123126868857,0.000163805467309,-0.000402194651542,-0.00241990434006,5.71836462768e-05
18561000000,433,18561000000,,-2.73562982329e-05,-0.000212080703932,0.000165971941897,-3.1000679801e-10,-1.85929716068e-09,5.51043620456e-11
18601000000,434,18601000000,,-3.67698703485e-05,-0.000257516920101,0.000168109021615,-5.50170776992e-11,-2.1222074098e-10,1.85306978095e-11
18639000000,435,18639000000,,-3.56901437044e-05,-0.000236529594986,0.00017021659005,5.13182205064e-11,4.91526208624e-10,2.73482105018e-11
18675000000,436,18675000000,,-3.15457036777e-05,-0.000198312991415,0.00017206708435,9.38526686922e-11,8.29271873393e-10,3.4880539429e-11
18710000000,437,18710000000,,-2.53632260865e-05,-0.000146179983858,0.000173997774255,1.49601595001e-10,1.20533483194e-09,4.15385295605e-11
18745000000,438,18745000000,,-1.82642215805e-05,-9.13614858291e-05,0.000175801978912,1.88409954305e-10,1.41087808103e-09,4.46741185711e-11
18780000000,439,18780000000,,-9.10360904527e-06,-2.53448215517e-05,0.000177759706276,2.47073750348e-10,1.69209468659e-09,4.88925150366e-11
18818000000,440,18818000000,,7.69617429341e-07,3.94514718209e-05,0.000179609050974,2.75172190589e-10,1.76952719144e-09,5.0013906211e-11
18857000000,441,18857000000,,1.38928653541e-05,0.000121505720017,0.000181829178473,3.22121496144e-10,1.91793536608e-09,5.20780883695e-11
18895000000,442,18895000000,,2.67452905973e-05,0.000195058091776,0.000183833326446,3.33630290061e-10,1.88745441498e-09,5.15986732508e-11
18931000000,443,18931000000,,3.88707230741e-05,0.000261937122559,0.000185624405276,3.56310286831e-10,1.88530657752e-09,5.1513637106e-11
18968000000,444,18968000000,,5.32162302989e-05,0.000334546697559,0.000187670608284,3.29195892768e-10,1.64056679353e-09,4.79222737881e-11
19008000000,445,19008000000,,6.70274239383e-05,0.000400861405069,0.000189657526789,2.94138047252e-10,1.33203870156e-09,4.30353183645e-11
19045000000,446,19045000000,,8.05784002296e-05,0.000459466973552,0.000191682920558,2.30218163977e-10,9.66121738166e-10,3.65089347643e-11
19081000000,447,19081000000,,9.18162913877e-05,0.000503850518726,0.000193490821403,1.67468358625e-10,6.03781746822e-10,2.88022557193e-11
19135000000,448,19135000000,,0.000106118342956,0.00054855144117,0.000196305612917,5.78697888221e-11,1.34845037914e-10,1.38139144221e-11
19167000000,449,19167000000,,0.000237746848143,0.00067818898242,0.000197201705305,0.00553384842351,0.00513215968385,3.19908031088e-05
19226000000,450,19226000000,,0.000217701308429,0.000625815882813,0.00020009430591,-0.0043207667768,-0.0049107382074,4.96347929584e-05
19267000000,451,19267000000,,-0.000159590694238,0.000233492712141,0.000202516239369,-0.0117473974824,-0.0125380354002,7.15700589353e-05
19284000000,452,19284000000,,-0.000437095266534,-6.80832890794e-05,0.000204160824069,-0.0143777010962,-0.0156567767262,8.44253518153e-05
19307000000,453,19307000000,,-0.00063717312878,-0.000290012307232,0.000205495962291,-0.0108935600147,-0.0118491789326,7.67323363107e-05
19338000000,454,19338000000,,-0.000906932924408,-0.000596668280195,0.000208191224374,-0.0039070378989,-0.00511417817324,6.55445619486e-05
19368000000,455,19368000000,,-0.000957965443376,-0.000667199725285,0.000209586753044,-7.23118620538e-10,-1.247966952e-09,4.1360897346e-11
19390000000,456,19390000000,,-0.000940473284572,-0.000661092053633,0.000210607729969,1.32326372082e-09,8.89223361611e-10,3.64082618221e-11
19409000000,457,19409000000,,-0.000897272664588,-0.000623411906417,0.00021130994719,0.00253226538189,0.00225650332868,3.43347201124e-05
19446000000,458,19446000000,,-0.000833903730381,-0.000581966363825,0.000212712271605,0.00192735390738,0.00104841601569,4.172133049e-05
19481000000,459,19481000000,,-0.000737758062314,-0.000537447922397,0.000214245490497,0.00332628539763,0.00162502843887,4.68887301395e-05
19532000000,460,19532000000,,-0.00048001925461,-0.000389307417208,0.000216823100345,0.00486990856007,0.00286049488932,4.57197529613e-05
19586000000,461,19586000000,,-0.000216734188143,-0.000202930154046,0.000219300345634,0.00428380118683,0.00312559609301,4.48635910288e-05
19652000000,462,19652000000,,-3.36253797286e-05,-5.33596576133e-05,0.000222228190978,0.00171373307239,0.00141182984225,4.36166519648e-05
19709000000,463,19709000000,,-3.74960654881e-05,-6.36772092548e-05,0.000224658084335,-1.29481023126e-10,-1.91209145739e-10,1.39408571492e-11
19755000000,464,19755000000,,-7.08206716808e-05,-0.000122757293866,0.000226480537094,-2.7704577521e-10,-6.14423067979e-10,2.27518802409e-11
19788000000,465,19788000000,,-2.94934325211e-05,-0.000108141161036,0.000227812721278,1.11573272843e-09,5.39343736339e-10,3.1682746704e-11
19834000000,466,19834000000,,6.90754677635e-05,-1.0392472177e-05,0.000229691562708,0.00178348377813,0.00183297670446,4.12612898799e-05
19870000000,467,19870000000,,2.01309212571e-05,-4.57375244878e-05,0.000231280486332,-0.00180103653111,-0.00152600242291,4.24088975706e-05
19907000000,468,19907000000,,-4.03574595111e-05,-0.000130300657474,0.00023269430676,-0.00164113333449,-0.00302336341701,4.28852035839e-05
19971000000,469,19971000000,,3.81766767532e-05,-0.000149306710227,0.00023561695707,0.00187038898002,0.000890131283086,4.30552427133e-05
20001000000,470,20001000000,,9.58850287134e-05,-7.74965446908e-05,0.000237012412981,0.00167722208425,0.00274897902273,4.66482997581e-05
20039000000,471,20039000000,,7.10834719939e-05,-2.04726511583e-05,0.000238627253566,-1.0059755251e-09,7.11718906032e-10,3.07785047449e-11
20084000000,472,20084000000,,9.92594050331e-06,-3.52868228219e-05,0.000240242530708,-7.98337451702e-10,-4.18060613905e-10,2.46033193818e-11
20120000000,473,20120000000,,6.26268738415e-05,-5.96965764998e-05,0.000241770903813,1.90426163726e-09,-3.59304919151e-10,3.86249504603e-11
20166000000,474,20166000000,,0.000130258646095,3.71359092242e-05,0.000243739355938,0.000913989089895,0.00242960662581,4.50004808954e-05
20202000000,475,20202000000,,-1.23055224321e-05,0.000114269118058,0.000246054900344,-0.00484822643921,0.00140073825605,6.12084259046e-05
20278000000,476,20278000000,,-0.000155948859174,-1.92979114217e-05,0.000249983626418,-4.81335839242e-11,-1.392563731e-09,3.80465103866e-11
20318000000,477,20318000000,,5.15990109307e-07,-8.74371471582e-05,0.000252451078268,0.00476797204465,-0.00110674719326,6.05662753514e-05
